method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
incident_direction_filtered,592,19.733333333333334,19.400000000000002,42.550000000000004,23.150000000000002,2,4.830164004765041
incident_direction_filtered,593,19.766666666666666,19.650000000000002,42.75,23.099999999999998,2,4.834364076344726
incident_direction_filtered,594,19.8,19.85,42.95,23.1,2,4.83647432495071
incident_direction_filtered,617,20.566666666666666,2.0500000000000003,24.85,22.8,2,4.461511570122282
incident_direction_filtered,618,20.6,2.2,25.05,22.85,2,4.447327425197625
incident_direction_filtered,619,20.633333333333333,2.4000000000000004,25.3,22.9,2,4.433767736923334
incident_direction_filtered,620,20.666666666666668,2.5500000000000003,25.5,22.95,2,4.420758216604892
incident_direction_filtered,621,20.7,2.7,25.700000000000003,23.000000000000004,2,4.408249538502669
incident_direction_filtered,622,20.733333333333334,2.9000000000000004,25.900000000000002,23.0,2,4.396224667092769
incident_direction_filtered,623,20.766666666666666,3.0500000000000003,26.150000000000002,23.1,2,4.384704028284437
incident_direction_filtered,624,20.8,3.2,26.35,23.150000000000002,2,4.373748376093755
incident_direction_filtered,625,20.833333333333332,3.35,26.55,23.2,2,4.3634593274390525
incident_direction_filtered,626,20.866666666666667,3.5500000000000003,26.75,23.2,2,4.353977648424812
incident_direction_filtered,627,20.9,3.7,26.950000000000003,23.250000000000004,2,4.345479472181701
incident_direction_filtered,628,20.933333333333334,3.85,27.150000000000002,23.3,2,4.338170708580695
incident_direction_filtered,629,20.966666666666665,4.0,27.35,23.35,2,4.332279968395292
incident_direction_filtered,630,21.0,4.2,27.55,23.35,2,4.328050367975945
incident_direction_filtered,631,21.033333333333335,4.3500000000000005,27.8,23.45,2,4.325730605126638
incident_direction_filtered,632,21.066666666666666,4.5,28.0,23.5,2,4.325565703135559
incident_direction_filtered,633,21.1,4.7,28.200000000000003,23.500000000000004,2,4.327787808845307
incident_direction_filtered,634,21.133333333333333,4.8500000000000005,28.400000000000002,23.55,2,4.332607403771293
incident_direction_filtered,635,21.166666666666668,5.0,28.6,23.6,2,4.3402052465594245
incident_direction_filtered,636,21.2,5.2,28.8,23.6,2,4.350725312931804
incident_direction_filtered,637,21.233333333333334,5.3500000000000005,28.950000000000003,23.6,2,4.36426893858247
incident_direction_filtered,638,21.266666666666666,5.5,29.150000000000002,23.650000000000002,2,4.380890304614852
incident_direction_filtered,639,21.3,5.7,29.35,23.650000000000002,2,4.400593337868571
incident_direction_filtered,640,21.333333333333332,5.8500000000000005,29.55,23.7,2,4.423330033998603
