"1 _ 1",,,,,,
"时间","载荷","行程","应力","行程(应变)","位移","位移(应变)"
"sec","N","mm","N/mm2","%","mm","%"
"3.02","1033.789","0.2509583","1033.789","0.2509583","0.2509583","0.2509583"
"3.03","1036.304","0.2518","1036.304","0.2518","0.2518","0.2518"
"3.04","1038.812","0.252625","1038.812","0.252625","0.252625","0.252625"
"3.05","1041.314","0.2534584","1041.314","0.2534584","0.2534584","0.2534584"
"3.06","1043.809","0.2543","1043.809","0.2543","0.2543","0.2543"
"3.07","1046.298","0.255125","1046.298","0.255125","0.255125","0.255125"
"3.08","1048.78","0.2559667","1048.78","0.2559667","0.2559667","0.2559667"
"3.09","1051.257","0.2567917","1051.257","0.2567917","0.2567917","0.2567917"
"3.1","1053.728","0.2576417","1053.728","0.2576417","0.2576417","0.2576417"
"3.11","1056.194","0.258475","1056.194","0.258475","0.258475","0.258475"
"3.12","1058.655","0.2593","1058.655","0.2593","0.2593","0.2593"
"3.13","1061.109","0.2601417","1061.109","0.2601417","0.2601417","0.2601417"
"3.14","1063.557","0.2609667","1063.557","0.2609667","0.2609667","0.2609667"
"3.15","1065.999","0.2618","1065.999","0.2618","0.2618","0.2618"
"3.16","1068.435","0.2626333","1068.435","0.2626333","0.2626333","0.2626333"
"3.17","1070.866","0.263475","1070.866","0.263475","0.263475","0.263475"
"3.18","1073.292","0.2643","1073.292","0.2643","0.2643","0.2643"
"3.19","1075.712","0.2651334","1075.712","0.2651334","0.2651334","0.2651334"
"3.2","1078.126","0.2659667","1078.126","0.2659667","0.2659667","0.2659667"
"3.21","1080.534","0.2667917","1080.534","0.2667917","0.2667917","0.2667917"
"3.22","1082.935","0.2676333","1082.935","0.2676333","0.2676333","0.2676333"
"3.23","1085.328","0.2684583","1085.328","0.2684583","0.2684583","0.2684583"
"3.24","1087.715","0.2692917","1087.715","0.2692917","0.2692917","0.2692917"
"3.25","1090.097","0.270125","1090.097","0.270125","0.270125","0.270125"
"3.26","1092.476","0.2709583","1092.476","0.2709583","0.2709583","0.2709583"
"3.27","1094.85","0.2718","1094.85","0.2718","0.2718","0.2718"
"3.28","1097.222","0.272625","1097.222","0.272625","0.272625","0.272625"
"3.29","1099.59","0.2734583","1099.59","0.2734583","0.2734583","0.2734583"
"3.3","1101.955","0.2742833","1101.955","0.2742833","0.2742833","0.2742833"
"3.31","1104.315","0.2751167","1104.315","0.2751167","0.2751167","0.2751167"
"3.32","1106.667","0.27595","1106.667","0.27595","0.27595","0.27595"
"3.33","1109.011","0.2767917","1109.011","0.2767917","0.2767917","0.2767917"
"3.34","1111.342","0.277625","1111.342","0.277625","0.277625","0.277625"
"3.35","1113.661","0.27845","1113.661","0.27845","0.27845","0.27845"
"3.36","1115.968","0.2792917","1115.968","0.2792917","0.2792917","0.2792917"
"3.37","1118.262","0.280125","1118.262","0.280125","0.280125","0.280125"
"3.38","1120.545","0.2809583","1120.545","0.2809583","0.2809583","0.2809583"
"3.39","1122.82","0.2817917","1122.82","0.2817917","0.2817917","0.2817917"
"3.4","1125.086","0.282625","1125.086","0.282625","0.282625","0.282625"
"3.41","1127.344","0.2834583","1127.344","0.2834583","0.2834583","0.2834583"
"3.42","1129.593","0.2842917","1129.593","0.2842917","0.2842917","0.2842917"
"3.43","1131.83","0.285125","1131.83","0.285125","0.285125","0.285125"
"3.44","1134.057","0.2859583","1134.057","0.2859583","0.2859583","0.2859583"
"3.45","1136.272","0.2867833","1136.272","0.2867833","0.2867833","0.2867833"
"3.46","1138.476","0.2876167","1138.476","0.2876167","0.2876167","0.2876167"
"3.47","1140.67","0.28845","1140.67","0.28845","0.28845","0.28845"
"3.48","1142.855","0.2892833","1142.855","0.2892833","0.2892833","0.2892833"
"3.49","1145.032","0.2901167","1145.032","0.2901167","0.2901167","0.2901167"
"3.5","1147.205","0.29095","1147.205","0.29095","0.29095","0.29095"
"3.51","1149.375","0.2917833","1149.375","0.2917833","0.2917833","0.2917833"
"3.52","1151.548","0.292625","1151.548","0.292625","0.292625","0.292625"
"3.53","1153.728","0.2934583","1153.728","0.2934583","0.2934583","0.2934583"
